title,sell_price,market_price,count,good_url
【超值新款】100%桑蚕丝时尚长款碎花真丝连衣裙,569,3290,2.7折,https://a.vpimg4.com/upload/merchandise/pdcvis/2019/04/19/90/f283132b-2bf5-4133-8076-9bfd8379d3cb_420_531.jpg
【2019夏装新款】衣香丽影纯色高腰修身连衣裙,200,669,6折,https://a.vpimg2.com/upload/merchandise/pdcvis/2019/04/30/168/e3ae6694-9752-4379-8919-131940f9e087_420_531.jpg
19年春新款气质优雅圆领五分袖高腰修身显瘦碎花雪纺春季连衣裙,134,788,2.9折,https://a.vpimg4.com/upload/merchandise/pdcvis/602046/2019/0530/120/d1485789-fcb9-4f15-8667-379cfa86f359_420_531.jpg
中长款圆领蕾丝裙2019夏装新款女装不对称喇叭袖复古连,248,599,4.1折,https://a.vpimg2.com/upload/merchandise/pdcvop/00603302/10004541/1864060248-22876221638541312-22876221638545410-50_420_531.jpg
2019夏装新款女喇叭短袖碎花连衣裙中长款A字裙V领印,449,1199,3.7折,https://a.vpimg2.com/upload/merchandise/pdcvop/00603302/10004541/422366060-7958051417784320-7958051417784322-50_420_531.jpg
2019夏季女式新品莫代尔韩版V领短袖宽松休闲开叉连衣裙,69,248,2.8折,https://a.vpimg2.com/upload/merchandise/pdcvis/2019/06/05/150/b83f23be-8e0e-4fc0-bbed-eda17fcd83e9_420_531.jpg
罗衣 2019夏款蕾丝短袖连衣裙女气质优雅鱼尾摆杏色中长裙,381,1375,2.8折,https://a.vpimg4.com/upload/merchandise/pdcvis/2019/04/19/74/5fc34922-0d38-406f-8d4b-0933978918e2_420_531.jpg
罗衣 2019夏季新款知性连衣收腰港味中长款系带连衣裙,299,1188,2.5折,https://a.vpimg3.com/upload/merchandise/pdcvis/605790/2019/0610/96/7839c252-ea4b-486d-9539-670817ebbfd5_420_531.jpg
Peoleo飘蕾2019夏新款法式赫本复古两穿短袖开衩连衣裙,358,799,4.5折,https://a.vpimg4.com/upload/merchandise/pdcvop/00102976/10004916/971461392-749926087122251776-749926087122255876-50_420_531.jpg
改良汉服女齐腰古装中国汉元素少女民国风复古女装古风唐装连衣裙,259,378,6.9折,https://a.vpimg2.com/upload/merchandise/pdcvis/612690/2019/0610/162/002452e7-10dc-4ec5-b5b5-16420fc46ac5_420_531.jpg
